CustomerID,ContractYears,ContractMonths,MRR
IOOSJD,2,1,620.0
IOOSJD,3,1,620.0
IOOSJD,4,1,620.0
IOOSJD,5,1,620.0
Z4ML1B,2,1,1330.0
Z4ML1B,3,1,1330.0
Z4ML1B,4,1,1330.0
Z4ML1B,5,1,1330.0
IMMH6E,2,1,1310.0
IMMH6E,3,1,1310.0
IMMH6E,4,1,1310.0
IMMH6E,5,1,1310.0
T47BDO,2,1,1710.0
T47BDO,3,1,1710.0
T47BDO,4,1,1710.0
T47BDO,5,1,1710.0
VFLQ4H,2,1,1850.0
VFLQ4H,3,1,1850.0
VFLQ4H,4,1,1850.0
VFLQ4H,5,1,1850.0
NE7005,2,1,1600.0
NE7005,3,1,1600.0
NE7005,4,1,1600.0
0MRKOB,2,1,1730.0
0MRKOB,3,1,1730.0
0MRKOB,4,1,1730.0
0MRKOB,5,1,1730.0
FNYZC6,2,1,1360.0
FNYZC6,3,1,1360.0
FNYZC6,4,1,1360.0
FNYZC6,5,1,1360.0
ZYQGWJ,2,1,1800.0
ZYQGWJ,3,1,1800.0
ZYQGWJ,4,1,1800.0
ZYQGWJ,5,1,1800.0
6THY26,2,1,1690.0
6THY26,3,1,1690.0
6THY26,4,1,1690.0
6THY26,5,1,1690.0
68BA3U,2,1,1400.0
68BA3U,3,1,1400.0
68BA3U,4,1,1400.0
68BA3U,5,1,1400.0
J3TBR2,2,1,1630.0
J3TBR2,3,1,1630.0
J3TBR2,4,1,1630.0
J3TBR2,5,1,1630.0
AIN2MC,2,1,2080.0
AIN2MC,3,1,2080.0
AIN2MC,4,1,2080.0
AIN2MC,5,1,2080.0
SL78BC,2,1,1680.0
SL78BC,3,1,1680.0
SL78BC,4,1,1680.0
SL78BC,5,1,1680.0
AEVDIV,2,1,1120.0
AEVDIV,3,1,1120.0
AEVDIV,4,1,1120.0
AEVDIV,5,1,1120.0
ZYNPA0,2,1,3100.0
ZYNPA0,3,1,3100.0
ZYNPA0,4,1,3100.0
ZYNPA0,5,1,3100.0
ZIKK1E,2,1,1540.0
ZIKK1E,3,1,1540.0
ZIKK1E,4,1,1540.0
ZIKK1E,5,1,1540.0
H0GXIK,2,1,1320.0
H0GXIK,3,1,1320.0
H0GXIK,4,1,1320.0
H0GXIK,5,1,1320.0
9IP1CD,2,1,570.0
9IP1CD,3,1,570.0
9IP1CD,4,1,570.0
9IP1CD,5,1,570.0
I31JLJ,2,1,1950.0
I31JLJ,3,1,1950.0
I31JLJ,4,1,1950.0
I31JLJ,5,1,1950.0
NYER21,2,1,2200.0
NYER21,3,1,2200.0
NYER21,4,1,2200.0
NYER21,5,1,2200.0
7RJOAP,2,1,2020.0
7RJOAP,3,1,2020.0
7RJOAP,4,1,2020.0
7RJOAP,5,1,2020.0
GSE8XI,2,1,1580.0
GSE8XI,3,1,1580.0
GSE8XI,4,1,1580.0
GSE8XI,5,1,1580.0
HI9ETI,3,1,1820.0
HI9ETI,4,1,1820.0
HI9ETI,5,1,1820.0
LIAFD7,2,1,1070.0
LIAFD7,3,1,1070.0
LIAFD7,4,1,1070.0
LIAFD7,5,1,1070.0
KX3100,2,1,1120.0
KX3100,3,1,1120.0
KX3100,4,1,1120.0
KX3100,5,1,1120.0
9X502H,2,1,2180.0
9X502H,3,1,2180.0
9X502H,4,1,2180.0
9X502H,5,1,2180.0
5IB9J9,2,1,1290.0
5IB9J9,3,1,1290.0
5IB9J9,4,1,1290.0
5IB9J9,5,1,1290.0
8BTT33,2,1,1390.0
8BTT33,3,1,1390.0
8BTT33,4,1,1390.0
8BTT33,5,1,1390.0
BY3S8N,2,1,1440.0
BY3S8N,3,1,1440.0
BY3S8N,4,1,1440.0
BY3S8N,5,1,1440.0
WCOBQW,2,1,2320.0
WCOBQW,3,1,2320.0
WCOBQW,4,1,2320.0
WCOBQW,5,1,2320.0
5H2EL6,2,1,2890.0
5H2EL6,3,1,2890.0
5H2EL6,4,1,2890.0
5H2EL6,5,1,2890.0
4CB0YN,2,1,1940.0
4CB0YN,3,1,1940.0
4CB0YN,4,1,1940.0
4CB0YN,5,1,1940.0
9NPIXJ,2,1,2350.0
9NPIXJ,3,1,2350.0
9NPIXJ,4,1,2350.0
9NPIXJ,5,1,2350.0
X8AKLL,2,1,1290.0
X8AKLL,3,1,1290.0
X8AKLL,4,1,1290.0
