SnapshotDate,CustomerID
2020-01-31,136
2020-02-29,248
2020-03-31,392
2020-04-30,540
2020-05-31,671
2020-06-30,797
2020-07-31,921
2020-08-31,1048
2020-09-30,1169
2020-10-31,1280
2020-11-30,1398
2020-12-31,1457
2021-01-31,1554
2021-02-28,1620
2021-03-31,1670
2021-04-30,1730
2021-05-31,1792
2021-06-30,1853
2021-07-31,1927
2021-08-31,2001
2021-09-30,2065
2021-10-31,2113
2021-11-30,2183
2021-12-31,2240
2022-01-31,2289
2022-02-28,2363
2022-03-31,2430
2022-04-30,2508
2022-05-31,2589
2022-06-30,2687
2022-07-31,2755
2022-08-31,2823
2022-09-30,2903
2022-10-31,3011
2022-11-30,3091
2022-12-31,3147
2023-01-31,3236
2023-02-28,3306
2023-03-31,3393
2023-04-30,3397
2023-05-31,3309
2023-06-30,3249
2023-07-31,3201
2023-08-31,3145
2023-09-30,3100
2023-10-31,3044
2023-11-30,2979
2023-12-31,2924
2024-01-31,2775
2024-02-29,2622
2024-03-31,2503
2024-04-30,2428
2024-05-31,2382
2024-06-30,2302
2024-07-31,2220
2024-08-31,2164
2024-09-30,2074
2024-10-31,2021
2024-11-30,1943
2024-12-31,1886
2025-01-31,1843
2025-02-28,1777
2025-03-31,1733
2025-04-30,1641
2025-05-31,1560
2025-06-30,1501
2025-07-31,1434
2025-08-31,1380
2025-09-30,1306
2025-10-31,1232
2025-11-30,1144
2025-12-31,1090
2026-01-31,1025
2026-02-28,942
2026-03-31,893
2026-04-30,828
2026-05-31,761
2026-06-30,662
2026-07-31,579
2026-08-31,515
2026-09-30,444
2026-10-31,378
2026-11-30,335
2026-12-31,258
2027-01-31,177
2027-02-28,120
2027-03-31,36
